组播,#genre#
CHC家庭影院,http://192.168.123.1:50001/rtp/226.0.2.240:9820
CHC影迷电影,http://192.168.123.1:50001/rtp/226.0.2.93:8004
CHC动作电影,http://192.168.123.1:50001/rtp/226.0.2.94:8012
梨园频道,http://192.168.123.1:50001/rtp/226.0.2.115:8832
CCTV-1综合,http://192.168.123.1:50001/rtp/226.0.2.153:9136
CCTV-2财经,http://192.168.123.1:50001/rtp/226.0.2.154:9144
CCTV-3综艺,http://192.168.123.1:50001/rtp/226.0.2.208:9576
CCTV-4中文国际,http://192.168.123.1:50001/rtp/226.0.2.156:9160
CCTV-5体育,http://192.168.123.1:50001/rtp/226.0.2.209:9584
CCTV-5+体育赛事,http://192.168.123.1:50001/rtp/226.0.2.168:9256
CCTV-6电影,http://192.168.123.1:50001/rtp/226.0.2.210:9592
CCTV-7国防军事,http://192.168.123.1:50001/rtp/226.0.2.159:9184
CCTV-8电视剧,http://192.168.123.1:50001/rtp/226.0.2.211:9600
CCTV-9记录,http://192.168.123.1:50001/rtp/226.0.2.161:9200
CCTV-10科教,http://192.168.123.1:50001/rtp/226.0.2.162:9208
CCTV-11戏曲,http://192.168.123.1:50001/rtp/226.0.2.28:8136
CCTV-12社会与法,http://192.168.123.1:50001/rtp/226.0.2.164:9224
CCTV-13新闻,http://192.168.123.1:50001/rtp/226.0.2.165:9232
CCTV-14少儿,http://192.168.123.1:50001/rtp/226.0.2.166:9240
CCTV-15音乐,http://192.168.123.1:50001/rtp/226.0.2.32:8168
CCTV-16奥林匹克,http://192.168.123.1:50001/rtp/226.0.2.169:9264
CCTV-17农村农业,http://192.168.123.1:50001/rtp/226.0.2.170:9272
东南卫视,http://192.168.123.1:50001/rtp/226.0.2.188:9416
广西卫视,http://192.168.123.1:50001/rtp/226.0.2.231:9760
河南卫视,http://192.168.123.1:50001/rtp/226.0.2.52:8328
陕西卫视,http://192.168.123.1:50001/rtp/226.0.2.53:8336
江西卫视,http://192.168.123.1:50001/rtp/226.0.2.54:8344
甘肃卫视,http://192.168.123.1:50001/rtp/226.0.2.55:8352
卡酷动画,http://192.168.123.1:50001/rtp/226.0.2.57:8368
吉林卫视,http://192.168.123.1:50001/rtp/226.0.2.58:8376
青海卫视,http://192.168.123.1:50001/rtp/226.0.2.59:8384
云南卫视,http://192.168.123.1:50001/rtp/226.0.2.60:8392
海南卫视,http://192.168.123.1:50001/rtp/226.0.2.212:9608
兵团卫视,http://192.168.123.1:50001/rtp/226.0.2.62:8408
内蒙古卫视,http://192.168.123.1:50001/rtp/226.0.2.63:8416
宁夏卫视,http://192.168.123.1:50001/rtp/226.0.2.64:8424
西藏卫视,http://192.168.123.1:50001/rtp/226.0.2.66:8440
新疆卫视,http://192.168.123.1:50001/rtp/226.0.2.67:8448
湖南卫视,http://192.168.123.1:50001/rtp/226.0.2.143:9056
浙江卫视,http://192.168.123.1:50001/rtp/226.0.2.144:9064
安徽卫视,http://192.168.123.1:50001/rtp/226.0.2.145:9072
广东卫视,http://192.168.123.1:50001/rtp/226.0.2.146:9080
深圳卫视,http://192.168.123.1:50001/rtp/226.0.2.147:9088
天津卫视,http://192.168.123.1:50001/rtp/226.0.2.148:9096
山东卫视,http://192.168.123.1:50001/rtp/226.0.2.149:9104
湖北卫视,http://192.168.123.1:50001/rtp/226.0.2.150:9112
黑龙江卫视,http://192.168.123.1:50001/rtp/226.0.2.151:9120
山西卫视,http://192.168.123.1:50001/rtp/226.0.2.152:9128
金鹰卡通,http://192.168.123.1:50001/rtp/226.0.2.172:9288
辽宁卫视,http://192.168.123.1:50001/rtp/226.0.2.173:9296
重庆卫视,http://192.168.123.1:50001/rtp/226.0.2.174:9304
东方卫视,http://192.168.123.1:50001/rtp/226.0.2.175:9312
江苏卫视,http://192.168.123.1:50001/rtp/226.0.2.176:9320
北京卫视,http://192.168.123.1:50001/rtp/226.0.2.177:9328
河北卫视,http://192.168.123.1:50001/rtp/226.0.2.178:9336
四川卫视,http://192.168.123.1:50001/rtp/226.0.2.179:9344
贵州卫视,http://192.168.123.1:50001/rtp/226.0.2.180:9352
CETV1,http://192.168.123.1:50001/rtp/226.0.2.181:9360
CETV2,http://192.168.123.1:50001/rtp/226.0.2.69:8464
CETV4,http://192.168.123.1:50001/rtp/226.0.2.70:8472
金鹰纪实,http://192.168.123.1:50001/rtp/226.0.2.194:9464
金色学堂,http://192.168.123.1:50001/rtp/226.0.2.182:9368
中国天气,http://192.168.123.1:50001/rtp/226.0.2.103:8736
风云音乐,http://192.168.123.1:50001/rtp/226.0.2.220:9672
晋能控股,http://192.168.123.1:50001/rtp/226.0.2.229:9744
太原1,http://192.168.123.1:50001/rtp/226.0.2.201:9520
太原2,http://192.168.123.1:50001/rtp/226.0.2.202:9528
太原3,http://192.168.123.1:50001/rtp/226.0.2.203:9536
太原4,http://192.168.123.1:50001/rtp/226.0.2.204:9544
太原5,http://192.168.123.1:50001/rtp/226.0.2.205:9552
太原教育,http://192.168.123.1:50001/rtp/226.0.2.206:9560
山西黄河,http://192.168.123.1:50001/rtp/226.0.2.235:9792
山西经济与科技,http://192.168.123.1:50001/rtp/226.0.2.236:9800
山西文体生活,http://192.168.123.1:50001/rtp/226.0.2.16:8040
山西影视,http://192.168.123.1:50001/rtp/226.0.2.237:9808
